subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num,delta,q_val
5,4005,1,1,20,4,10,0.1,4,0.979334885,0,5,-7.561713045,1.058335591
5,4005,1,1,21,4,5,0.25,5,1.379414167,10,6,-1.058335591,0.987883
5,4005,1,1,22,2,7.5,0.35,10.5,1.811069449,10,5,1.43927637,1.628167597
5,4005,1,1,23,2,7.5,0.35,10.5,1.47011644,10,6,1.371832403,1.692451164
5,4005,1,1,24,3,5,0.25,5,1.896491471,10,4,-1.037488573,0.968423752
5,4005,1,1,25,3,5,0.2,4,1.231758517,0,5,-1.968423752,0.837387288
5,4005,1,1,26,2,7.5,0.3,9,1.762337543,10,7,-0.047387158,1.544232631
5,4005,1,1,27,4,7.5,0.2,6,1.722319134,0,7,-2.528226347,0.859924253
5,4005,1,1,28,4,2.5,0.4,4,1.38833722,10,8,0.640075747,0.88991797
5,4005,1,1,29,3,5,0.25,5,1.453749722,10,6,-0.755826375,0.705511591
5,4005,1,1,30,2,5,0.4,8,1.259579655,10,8,1.571517247,1.502123479
5,4005,1,2,31,1,0,0.05,0,1.652486728,0,9,0.008716993,-0.008308518
5,4005,1,2,32,2,7.5,0.4,12,1.230713919,10,9,2.997294498,1.643157631
5,4005,1,2,33,1,0,0.1,0,1.481229662,0,10,-0.19181711,0.179047991
5,4005,1,2,34,2,7.5,0.45,13.5,1.004392331,10,10,4.366099378,1.83849445
5,4005,1,2,35,1,2.5,0,0,1.182158811,0,11,-2.970567019,0.272818644
5,4005,1,2,36,4,7.5,0.25,7.5,1.536923281,10,9,-1.297981784,1.211576129
5,4005,1,2,37,3,5,0.2,4,1.532697025,0,7,-2.087411224,0.948453856
5,4005,1,2,38,4,10,0.2,8,1.199037401,0,10,-3.110838582,0.903752437
5,4005,1,2,39,1,0,0,0,1.131298038,0,12,0.040686635,-0.038780074
5,4005,1,2,40,2,7.5,0.45,13.5,1.176348569,10,11,4.615652491,1.600635305
5,4005,1,2,41,3,2.5,0.3,3,1.259192572,10,8,-0.609224128,1.068668544
5,4005,1,2,42,3,2.5,0.2,2,1.260294349,0,9,-1.568668544,0.964243479
